"label","level","id","title_long","title","label_logits","label_nologits"
"regional rapeseed oil",1,32,"regional rapeseed oil","Logit: -3","regional rapeseed oil: -3","regional rapeseed oil"
"regional soybean oil",1,33,"regional soybean oil","Logit: -3","regional soybean oil: -3","regional soybean oil"
"regional dairy",1,34,"regional dairy","Logit: -3.7","regional dairy: -3.7","regional dairy"
"OtherMeat_Fish",1,35,"OtherMeat_Fish","Logit: NA","OtherMeat_Fish: NA","OtherMeat_Fish"
"regional palmfruit",1,36,"regional palmfruit","Logit: -3","regional palmfruit: -3","regional palmfruit"
"regional pork",1,37,"regional pork","Logit: -4.4","regional pork: -4.4","regional pork"
"regional poultry",1,38,"regional poultry","Logit: -4.4","regional poultry: -4.4","regional poultry"
"regional rapeseed",1,39,"regional rapeseed","Logit: -3","regional rapeseed: -3","regional rapeseed"
"regional sheepgoat",1,40,"regional sheepgoat","Logit: -3.9","regional sheepgoat: -3.9","regional sheepgoat"
"regional biomass",1,41,"regional biomass","Logit: NA","regional biomass: NA","regional biomass"
"regional coal",1,42,"regional coal","Logit: -3","regional coal: -3","regional coal"
"elect_td_ind",1,43,"elect_td_ind","Logit: -3","elect_td_ind: -3","elect_td_ind"
"regional natural gas",1,44,"regional natural gas","Logit: -3","regional natural gas: -3","regional natural gas"
"nuclearFuelGenIII",1,45,"nuclearFuelGenIII","Logit: -3","nuclearFuelGenIII: -3","nuclearFuelGenIII"
"global solar resource",1,46,"global solar resource","Logit: NA","global solar resource: NA","global solar resource"
"onshore wind resource",1,47,"onshore wind resource","Logit: NA","onshore wind resource: NA","onshore wind resource"
"H2 central production",1,48,"H2 central production","Logit: -3","H2 central production: -3","H2 central production"
"H2 distribution",1,49,"H2 distribution","Logit: -3","H2 distribution: -3","H2 distribution"
"H2 forecourt production",1,50,"H2 forecourt production","Logit: -3","H2 forecourt production: -3","H2 forecourt production"
"elect_td_trn",1,51,"elect_td_trn","Logit: -3","elect_td_trn: -3","elect_td_trn"
"delivered gas",1,52,"delivered gas","Logit: -3","delivered gas: -3","delivered gas"
"wholesale gas",1,53,"wholesale gas","Logit: -3","wholesale gas: -3","wholesale gas"
"regional palmfruit feedcake",1,54,"regional palmfruit feedcake","Logit: -3","regional palmfruit feedcake: -3","regional palmfruit feedcake"
"Forest",1,55,"Forest","Logit: -3","Forest: -3","Forest"
"FodderGrass",1,56,"FodderGrass","Logit: -3","FodderGrass: -3","FodderGrass"
"Pasture",1,57,"Pasture","Logit: -3","Pasture: -3","Pasture"
"Scavenging_Other_Rsrc",1,58,"Scavenging_Other_Rsrc","Logit: NA","Scavenging_Other_Rsrc: NA","Scavenging_Other_Rsrc"
"land-input",1,59,"land-input","Logit: NA","land-input: NA","land-input"
"limestone",1,60,"limestone","Logit: NA","limestone: NA","limestone"
"process heat cement",1,61,"process heat cement","Logit: -3","process heat cement: -3","process heat cement"
"elect_td_bld",1,62,"elect_td_bld","Logit: -6","elect_td_bld: -6","elect_td_bld"
"delivered coal",1,63,"delivered coal","Logit: -3","delivered coal: -3","delivered coal"
"refined liquids enduse",1,64,"refined liquids enduse","Logit: -6","refined liquids enduse: -6","refined liquids enduse"
"delivered biomass",1,65,"delivered biomass","Logit: -3","delivered biomass: -3","delivered biomass"
"regional corn for ethanol",1,66,"regional corn for ethanol","Logit: -3","regional corn for ethanol: -3","regional corn for ethanol"
"gas pipeline",1,67,"gas pipeline","Logit: -3","gas pipeline: -3","gas pipeline"
"csp_backup",1,68,"csp_backup","Logit: -3","csp_backup: -3","csp_backup"
"water_td_elec_C",1,69,"water_td_elec_C","Logit: 0","water_td_elec_C: 0","water_td_elec_C"
"water_td_elec_W",1,70,"water_td_elec_W","Logit: 0","water_td_elec_W: 0","water_td_elec_W"
"seawater",1,71,"seawater","Logit: NA","seawater: NA","seawater"
"geothermal",1,72,"geothermal","Logit: NA","geothermal: NA","geothermal"
"oil-credits",1,73,"oil-credits","Logit: NA","oil-credits: NA","oil-credits"
"electricity_net_ownuse",1,74,"electricity_net_ownuse","Logit: -3","electricity_net_ownuse: -3","electricity_net_ownuse"
"backup_electricity",1,75,"backup_electricity","Logit: -3","backup_electricity: -3","backup_electricity"
"distributed_solar",1,76,"distributed_solar","Logit: NA","distributed_solar: NA","distributed_solar"
"elec_biomass (IGCC)",1,77,"elec_biomass (IGCC)","Logit: -10","elec_biomass (IGCC): -10","elec_biomass (IGCC)"
"elec_biomass (conv)",1,78,"elec_biomass (conv)","Logit: -10","elec_biomass (conv): -10","elec_biomass (conv)"
"elec_coal (IGCC)",1,79,"elec_coal (IGCC)","Logit: -10","elec_coal (IGCC): -10","elec_coal (IGCC)"
"elec_coal (conv pul)",1,80,"elec_coal (conv pul)","Logit: -10","elec_coal (conv pul): -10","elec_coal (conv pul)"
"elec_gas (CC)",1,81,"elec_gas (CC)","Logit: -10","elec_gas (CC): -10","elec_gas (CC)"
"elec_gas (steam/CT)",1,82,"elec_gas (steam/CT)","Logit: -10","elec_gas (steam/CT): -10","elec_gas (steam/CT)"
"elec_geothermal",1,83,"elec_geothermal","Logit: -6","elec_geothermal: -6","elec_geothermal"
"elec_Gen_III",1,84,"elec_Gen_III","Logit: NA","elec_Gen_III: NA","elec_Gen_III"
"elec_refined liquids (CC)",1,85,"elec_refined liquids (CC)","Logit: -10","elec_refined liquids (CC): -10","elec_refined liquids (CC)"
"elec_refined liquids (steam/CT)",1,86,"elec_refined liquids (steam/CT)","Logit: -10","elec_refined liquids (steam/CT): -10","elec_refined liquids (steam/CT)"
"elec_CSP",1,87,"elec_CSP","Logit: NA","elec_CSP: NA","elec_CSP"
"elec_CSP_storage",1,88,"elec_CSP_storage","Logit: NA","elec_CSP_storage: NA","elec_CSP_storage"
"offshore wind resource",1,89,"offshore wind resource","Logit: NA","offshore wind resource: NA","offshore wind resource"
"electricity",1,90,"electricity","Logit: -3","electricity: -3","electricity"
"gas processing",1,91,"gas processing","Logit: -6","gas processing: -6","gas processing"
"H2 enduse",1,92,"H2 enduse","Logit: -3","H2 enduse: -3","H2 enduse"
"misc emissions sources",1,93,"misc emissions sources","Logit: NA","misc emissions sources: NA","misc emissions sources"
"industrial energy use",1,94,"industrial energy use","Logit: -3","industrial energy use: -3","industrial energy use"
"industrial feedstocks",1,95,"industrial feedstocks","Logit: -1","industrial feedstocks: -1","industrial feedstocks"
"industrial processes",1,96,"industrial processes","Logit: 0","industrial processes: 0","industrial processes"
"water_td_ind_C",1,97,"water_td_ind_C","Logit: 0","water_td_ind_C: 0","water_td_ind_C"
"water_td_ind_W",1,98,"water_td_ind_W","Logit: 0","water_td_ind_W: 0","water_td_ind_W"
"water_td_dom_C",1,99,"water_td_dom_C","Logit: 0","water_td_dom_C: 0","water_td_dom_C"
"water_td_dom_W",1,100,"water_td_dom_W","Logit: 0","water_td_dom_W: 0","water_td_dom_W"
"uranium",1,101,"uranium","Logit: NA","uranium: NA","uranium"
"water_td_pri_C",1,102,"water_td_pri_C","Logit: 0","water_td_pri_C: 0","water_td_pri_C"
"water_td_pri_W",1,103,"water_td_pri_W","Logit: 0","water_td_pri_W: 0","water_td_pri_W"
"regional refined oil",1,104,"regional refined oil","Logit: -3","regional refined oil: -3","regional refined oil"
"regional corn ethanol",1,105,"regional corn ethanol","Logit: -3","regional corn ethanol: -3","regional corn ethanol"
"regional sugar cane ethanol",1,106,"regional sugar cane ethanol","Logit: -3","regional sugar cane ethanol: -3","regional sugar cane ethanol"
"regional oil",1,107,"regional oil","Logit: -6","regional oil: -6","regional oil"
"DDGS",1,108,"DDGS","Logit: NA","DDGS: NA","DDGS"
"traded DDGS",1,109,"traded DDGS","Logit: -3","traded DDGS: -3","traded DDGS"
"Beef",1,110,"Beef","Logit: NA","Beef: NA","Beef"
"traded beef",1,111,"traded beef","Logit: -7.7","traded beef: -7.7","traded beef"
"total biomass",1,112,"total biomass","Logit: NA","total biomass: NA","total biomass"
"coal",1,113,"coal","Logit: NA","coal: NA","coal"
"Corn",1,114,"Corn","Logit: -3","Corn: -3","Corn"
"traded corn",1,115,"traded corn","Logit: -6","traded corn: -6","traded corn"
"trn_shipping_intl",1,116,"trn_shipping_intl","Logit: -3","trn_shipping_intl: -3","trn_shipping_intl"
"corn ethanol",1,117,"corn ethanol","Logit: -6","corn ethanol: -6","corn ethanol"
"traded corn ethanol",1,118,"traded corn ethanol","Logit: -3","traded corn ethanol: -3","traded corn ethanol"
"Dairy",1,119,"Dairy","Logit: NA","Dairy: NA","Dairy"
"traded dairy",1,120,"traded dairy","Logit: -7.3","traded dairy: -7.3","traded dairy"
"FiberCrop",1,121,"FiberCrop","Logit: -3","FiberCrop: -3","FiberCrop"
"traded fibercrop",1,122,"traded fibercrop","Logit: -6","traded fibercrop: -6","traded fibercrop"
"MiscCrop",1,123,"MiscCrop","Logit: -3","MiscCrop: -3","MiscCrop"
"traded misccrop",1,124,"traded misccrop","Logit: -6","traded misccrop: -6","traded misccrop"
"natural gas",1,125,"natural gas","Logit: NA","natural gas: NA","natural gas"
"crude oil",1,126,"crude oil","Logit: NA","crude oil: NA","crude oil"
"traded unconventional oil",1,127,"traded unconventional oil","Logit: -3","traded unconventional oil: -3","traded unconventional oil"
"OilCrop",1,128,"OilCrop","Logit: -3","OilCrop: -3","OilCrop"
"traded oilcrop",1,129,"traded oilcrop","Logit: -6","traded oilcrop: -6","traded oilcrop"
"OilCrop feedcake",1,130,"OilCrop feedcake","Logit: NA","OilCrop feedcake: NA","OilCrop feedcake"
"traded oilcrop feedcake",1,131,"traded oilcrop feedcake","Logit: -6","traded oilcrop feedcake: -6","traded oilcrop feedcake"
"OilCrop oil",1,132,"OilCrop oil","Logit: -3","OilCrop oil: -3","OilCrop oil"
"traded oilcrop oil",1,133,"traded oilcrop oil","Logit: -6","traded oilcrop oil: -6","traded oilcrop oil"
"OtherGrain",1,134,"OtherGrain","Logit: -3","OtherGrain: -3","OtherGrain"
"traded othergrain",1,135,"traded othergrain","Logit: -6","traded othergrain: -6","traded othergrain"
"PalmFruit",1,136,"PalmFruit","Logit: -3","PalmFruit: -3","PalmFruit"
"PalmFruit feedcake",1,137,"PalmFruit feedcake","Logit: NA","PalmFruit feedcake: NA","PalmFruit feedcake"
"traded palmfruit feedcake",1,138,"traded palmfruit feedcake","Logit: -6","traded palmfruit feedcake: -6","traded palmfruit feedcake"
"PalmFruit oil",1,139,"PalmFruit oil","Logit: -3","PalmFruit oil: -3","PalmFruit oil"
"traded palmfruit oil",1,140,"traded palmfruit oil","Logit: -6","traded palmfruit oil: -6","traded palmfruit oil"
"pork",1,141,"pork","Logit: NA","pork: NA","pork"
"traded pork",1,142,"traded pork","Logit: -8.8","traded pork: -8.8","traded pork"
"poultry",1,143,"poultry","Logit: NA","poultry: NA","poultry"
"traded poultry",1,144,"traded poultry","Logit: -8.8","traded poultry: -8.8","traded poultry"
"Rapeseed",1,145,"Rapeseed","Logit: -3","Rapeseed: -3","Rapeseed"
"traded rapeseed",1,146,"traded rapeseed","Logit: -6","traded rapeseed: -6","traded rapeseed"
"Rapeseed feedcake",1,147,"Rapeseed feedcake","Logit: NA","Rapeseed feedcake: NA","Rapeseed feedcake"
"traded rapeseed feedcake",1,148,"traded rapeseed feedcake","Logit: -6","traded rapeseed feedcake: -6","traded rapeseed feedcake"
"Rapeseed oil",1,149,"Rapeseed oil","Logit: -3","Rapeseed oil: -3","Rapeseed oil"
"traded rapeseed oil",1,150,"traded rapeseed oil","Logit: -6","traded rapeseed oil: -6","traded rapeseed oil"
"refining",1,151,"refining","Logit: -6","refining: -6","refining"
"traded refined oil",1,152,"traded refined oil","Logit: -3","traded refined oil: -3","traded refined oil"
"Rice",1,153,"Rice","Logit: -3","Rice: -3","Rice"
"traded rice",1,154,"traded rice","Logit: -6","traded rice: -6","traded rice"
"RootTuber",1,155,"RootTuber","Logit: -3","RootTuber: -3","RootTuber"
"traded root_tuber",1,156,"traded root_tuber","Logit: -6","traded root_tuber: -6","traded root_tuber"
"SheepGoat",1,157,"SheepGoat","Logit: NA","SheepGoat: NA","SheepGoat"
"traded sheepgoat",1,158,"traded sheepgoat","Logit: -7.7","traded sheepgoat: -7.7","traded sheepgoat"
"Soybean",1,159,"Soybean","Logit: -3","Soybean: -3","Soybean"
"traded soybean",1,160,"traded soybean","Logit: -6","traded soybean: -6","traded soybean"
"Soybean feedcake",1,161,"Soybean feedcake","Logit: NA","Soybean feedcake: NA","Soybean feedcake"
"traded soybean feedcake",1,162,"traded soybean feedcake","Logit: -6","traded soybean feedcake: -6","traded soybean feedcake"
"Soybean oil",1,163,"Soybean oil","Logit: -3","Soybean oil: -3","Soybean oil"
"traded soybean oil",1,164,"traded soybean oil","Logit: -6","traded soybean oil: -6","traded soybean oil"
"traded sugar cane ethanol",1,165,"traded sugar cane ethanol","Logit: -3","traded sugar cane ethanol: -3","traded sugar cane ethanol"
"SugarCrop",1,166,"SugarCrop","Logit: -3","SugarCrop: -3","SugarCrop"
"traded sugarcrop",1,167,"traded sugarcrop","Logit: -6","traded sugarcrop: -6","traded sugarcrop"
"Wheat",1,168,"Wheat","Logit: -3","Wheat: -3","Wheat"
"traded wheat",1,169,"traded wheat","Logit: -6","traded wheat: -6","traded wheat"
"traditional biomass",1,170,"traditional biomass","Logit: NA","traditional biomass: NA","traditional biomass"
"biomass",1,171,"biomass","Logit: -3","biomass: -3","biomass"
"traded biomass",1,172,"traded biomass","Logit: NA","traded biomass: NA","traded biomass"
"trn_freight_road",1,173,"trn_freight_road","Logit: -1","trn_freight_road: -1","trn_freight_road"
"refined liquids gasoline pool",1,174,"refined liquids gasoline pool","Logit: -6","refined liquids gasoline pool: -6","refined liquids gasoline pool"
"renewable",1,175,"renewable","Logit: NA","renewable: NA","renewable"
"trn_pass_road",1,176,"trn_pass_road","Logit: -4","trn_pass_road: -4","trn_pass_road"
"trn_pass_road_LDV",1,177,"trn_pass_road_LDV","Logit: -4","trn_pass_road_LDV: -4","trn_pass_road_LDV"
"trn_pass_road_LDV_4W",1,178,"trn_pass_road_LDV_4W","Logit: -6","trn_pass_road_LDV_4W: -6","trn_pass_road_LDV_4W"
"unconventional oil",1,179,"unconventional oil","Logit: NA","unconventional oil: NA","unconventional oil"
"X_water consumption",1,180,"X_water consumption","Logit: NA","X_water consumption: NA","X_water consumption"
"X_water withdrawals",1,181,"X_water withdrawals","Logit: NA","X_water withdrawals: NA","X_water withdrawals"
"desalination",1,182,"desalination","Logit: NA","desalination: NA","desalination"
"regional biomassOil oilcrop",1,183,"regional biomassOil oilcrop","Logit: -3","regional biomassOil oilcrop: -3","regional biomassOil oilcrop"
"traded palmfruit",1,184,"traded palmfruit","Logit: -6","traded palmfruit: -6","traded palmfruit"
"nuclearFuelGenII",1,185,"nuclearFuelGenII","Logit: -3","nuclearFuelGenII: -3","nuclearFuelGenII"
"elec_Gen_II_LWR",1,186,"elec_Gen_II_LWR","Logit: NA","elec_Gen_II_LWR: NA","elec_Gen_II_LWR"
"regional palmfruit biodiesel",1,187,"regional palmfruit biodiesel","Logit: -3","regional palmfruit biodiesel: -3","regional palmfruit biodiesel"
"regional rapeseed biodiesel",1,188,"regional rapeseed biodiesel","Logit: -3","regional rapeseed biodiesel: -3","regional rapeseed biodiesel"
"regional soybean biodiesel",1,189,"regional soybean biodiesel","Logit: -3","regional soybean biodiesel: -3","regional soybean biodiesel"
"traded palmfruit biodiesel",1,190,"traded palmfruit biodiesel","Logit: -3","traded palmfruit biodiesel: -3","traded palmfruit biodiesel"
"traded rapeseed biodiesel",1,191,"traded rapeseed biodiesel","Logit: -3","traded rapeseed biodiesel: -3","traded rapeseed biodiesel"
"soybean biodiesel",1,192,"soybean biodiesel","Logit: -6","soybean biodiesel: -6","soybean biodiesel"
"traded soybean biodiesel",1,193,"traded soybean biodiesel","Logit: -3","traded soybean biodiesel: -3","traded soybean biodiesel"
"regional biomassOil soybean",1,194,"regional biomassOil soybean","Logit: -3","regional biomassOil soybean: -3","regional biomassOil soybean"
"regional biomassOil rapeseed",1,195,"regional biomassOil rapeseed","Logit: -3","regional biomassOil rapeseed: -3","regional biomassOil rapeseed"
"regional oilcrop biodiesel",1,196,"regional oilcrop biodiesel","Logit: -3","regional oilcrop biodiesel: -3","regional oilcrop biodiesel"
"traded oilcrop biodiesel",1,197,"traded oilcrop biodiesel","Logit: -3","traded oilcrop biodiesel: -3","traded oilcrop biodiesel"
"rapeseed biodiesel",1,198,"rapeseed biodiesel","Logit: -6","rapeseed biodiesel: -6","rapeseed biodiesel"
"sugar cane ethanol",1,199,"sugar cane ethanol","Logit: -6","sugar cane ethanol: -6","sugar cane ethanol"
"regional sugar for ethanol",1,200,"regional sugar for ethanol","Logit: -3","regional sugar for ethanol: -3","regional sugar for ethanol"
"regional biomassOil palmfruit",1,201,"regional biomassOil palmfruit","Logit: -3","regional biomassOil palmfruit: -3","regional biomassOil palmfruit"
"palmfruit biodiesel",1,202,"palmfruit biodiesel","Logit: -6","palmfruit biodiesel: -6","palmfruit biodiesel"
"oilcrop biodiesel",1,203,"oilcrop biodiesel","Logit: -6","oilcrop biodiesel: -6","oilcrop biodiesel"
"district heat",1,204,"district heat","Logit: -3","district heat: -3","district heat"
"Blend Wall Credit",1,205,"Blend Wall Credit","Logit: NA","Blend Wall Credit: NA","Blend Wall Credit"
"unconventional oil production",1,206,"unconventional oil production","Logit: -3","unconventional oil production: -3","unconventional oil production"
"FoodDemand_NonStaples",1,207,"FoodDemand_NonStaples","Logit: NA","FoodDemand_NonStaples: NA","FoodDemand_NonStaples"
"FoodDemand_Staples",1,208,"FoodDemand_Staples","Logit: NA","FoodDemand_Staples: NA","FoodDemand_Staples"
"NonFoodDemand_Crops",1,209,"NonFoodDemand_Crops","Logit: NA","NonFoodDemand_Crops: NA","NonFoodDemand_Crops"
"NonFoodDemand_Forest",1,210,"NonFoodDemand_Forest","Logit: NA","NonFoodDemand_Forest: NA","NonFoodDemand_Forest"
"NonFoodDemand_Meat",1,211,"NonFoodDemand_Meat","Logit: NA","NonFoodDemand_Meat: NA","NonFoodDemand_Meat"
"UnmanagedLand",1,212,"UnmanagedLand","Logit: NA","UnmanagedLand: NA","UnmanagedLand"
"cement",1,213,"cement","Logit: -3","cement: -3","cement"
"comm cooling",1,214,"comm cooling","Logit: -3","comm cooling: -3","comm cooling"
"comm heating",1,215,"comm heating","Logit: -3","comm heating: -3","comm heating"
"comm others",1,216,"comm others","Logit: -3","comm others: -3","comm others"
"industry",1,217,"industry","Logit: -3","industry: -3","industry"
"municipal water",1,218,"municipal water","Logit: 0","municipal water: 0","municipal water"
"resid cooling",1,219,"resid cooling","Logit: -3","resid cooling: -3","resid cooling"
"resid heating",1,220,"resid heating","Logit: -3","resid heating: -3","resid heating"
"resid others",1,221,"resid others","Logit: -3","resid others: -3","resid others"
"trn_aviation_intl",1,222,"trn_aviation_intl","Logit: -3","trn_aviation_intl: -3","trn_aviation_intl"
"trn_pass",1,223,"trn_pass","Logit: -2","trn_pass: -2","trn_pass"
"urban processes",1,224,"urban processes","Logit: 0","urban processes: 0","urban processes"
"Exports_fertilizer",1,225,"Exports_fertilizer","Logit: -3","Exports_fertilizer: -3","Exports_fertilizer"
"Mixed",2,226,"Beef>>Mixed","Logit: -1.5","Mixed: -1.5","Mixed"
"Pastoral",2,227,"Beef>>Pastoral","Logit: NA","Pastoral: NA","Pastoral"
"Corn_X",2,228,"Corn>>Corn_X","Logit: NA","Corn_X: NA","Corn_X"
"Mixed",2,229,"Dairy>>Mixed","Logit: -1.5","Mixed: -1.5","Mixed"
"Pastoral",2,230,"Dairy>>Pastoral","Logit: NA","Pastoral: NA","Pastoral"
"Corn",2,231,"FeedCrops>>Corn","Logit: -6","Corn: -6","Corn"
"DDGS",2,232,"FeedCrops>>DDGS","Logit: NA","DDGS: NA","DDGS"
"FiberCrop",2,233,"FeedCrops>>FiberCrop","Logit: NA","FiberCrop: NA","FiberCrop"
"MiscCrop",2,234,"FeedCrops>>MiscCrop","Logit: NA","MiscCrop: NA","MiscCrop"
"OilCrop",2,235,"FeedCrops>>OilCrop","Logit: NA","OilCrop: NA","OilCrop"
"OilCrop feedcake",2,236,"FeedCrops>>OilCrop feedcake","Logit: NA","OilCrop feedcake: NA","OilCrop feedcake"
"OtherGrain",2,237,"FeedCrops>>OtherGrain","Logit: NA","OtherGrain: NA","OtherGrain"
"Rapeseed feedcake",2,238,"FeedCrops>>Rapeseed feedcake","Logit: NA","Rapeseed feedcake: NA","Rapeseed feedcake"
"Rice",2,239,"FeedCrops>>Rice","Logit: NA","Rice: NA","Rice"
"RootTuber",2,240,"FeedCrops>>RootTuber","Logit: NA","RootTuber: NA","RootTuber"
"Soybean",2,241,"FeedCrops>>Soybean","Logit: NA","Soybean: NA","Soybean"
"Soybean feedcake",2,242,"FeedCrops>>Soybean feedcake","Logit: NA","Soybean feedcake: NA","Soybean feedcake"
"SugarCrop",2,243,"FeedCrops>>SugarCrop","Logit: NA","SugarCrop: NA","SugarCrop"
"Wheat",2,244,"FeedCrops>>Wheat","Logit: NA","Wheat: NA","Wheat"
"FiberCrop_X",2,245,"FiberCrop>>FiberCrop_X","Logit: NA","FiberCrop_X: NA","FiberCrop_X"
"FodderGrass_X",2,246,"FodderGrass>>FodderGrass_X","Logit: NA","FodderGrass_X: NA","FodderGrass_X"
"FodderHerb_X",2,247,"FodderHerb>>FodderHerb_X","Logit: NA","FodderHerb_X: NA","FodderHerb_X"
"FodderHerb",2,248,"FodderHerb_Residue>>FodderHerb","Logit: -6","FodderHerb: -6","FodderHerb"
"Residue",2,249,"FodderHerb_Residue>>Residue","Logit: NA","Residue: NA","Residue"
"Beef",2,250,"FoodDemand_NonStaples>>Beef","Logit: NA","Beef: NA","Beef"
"BlendVegOil",2,251,"FoodDemand_NonStaples>>BlendVegOil","Logit: NA","BlendVegOil: NA","BlendVegOil"
"Dairy",2,252,"FoodDemand_NonStaples>>Dairy","Logit: NA","Dairy: NA","Dairy"
"FiberCrop",2,253,"FoodDemand_NonStaples>>FiberCrop","Logit: -6","FiberCrop: -6","FiberCrop"
"MiscCrop",2,254,"FoodDemand_NonStaples>>MiscCrop","Logit: NA","MiscCrop: NA","MiscCrop"
"OilCrop",2,255,"FoodDemand_NonStaples>>OilCrop","Logit: NA","OilCrop: NA","OilCrop"
"OtherMeat_Fish",2,256,"FoodDemand_NonStaples>>OtherMeat_Fish","Logit: NA","OtherMeat_Fish: NA","OtherMeat_Fish"
"PalmFruit",2,257,"FoodDemand_NonStaples>>PalmFruit","Logit: NA","PalmFruit: NA","PalmFruit"
"pork",2,258,"FoodDemand_NonStaples>>pork","Logit: NA","pork: NA","pork"
"poultry",2,259,"FoodDemand_NonStaples>>poultry","Logit: NA","poultry: NA","poultry"
"Rapeseed",2,260,"FoodDemand_NonStaples>>Rapeseed","Logit: NA","Rapeseed: NA","Rapeseed"
"SheepGoat",2,261,"FoodDemand_NonStaples>>SheepGoat","Logit: NA","SheepGoat: NA","SheepGoat"
"Soybean",2,262,"FoodDemand_NonStaples>>Soybean","Logit: NA","Soybean: NA","Soybean"
"SugarCrop",2,263,"FoodDemand_NonStaples>>SugarCrop","Logit: NA","SugarCrop: NA","SugarCrop"
"Corn",2,264,"FoodDemand_Staples>>Corn","Logit: -6","Corn: -6","Corn"
"OtherGrain",2,265,"FoodDemand_Staples>>OtherGrain","Logit: NA","OtherGrain: NA","OtherGrain"
"Rice",2,266,"FoodDemand_Staples>>Rice","Logit: NA","Rice: NA","Rice"
"RootTuber",2,267,"FoodDemand_Staples>>RootTuber","Logit: NA","RootTuber: NA","RootTuber"
"Wheat",2,268,"FoodDemand_Staples>>Wheat","Logit: NA","Wheat: NA","Wheat"
"biomass",2,269,"H2 central production>>biomass","Logit: NA","biomass: NA","biomass"
"coal",2,270,"H2 central production>>coal","Logit: NA","coal: NA","coal"
"electricity",2,271,"H2 central production>>electricity","Logit: NA","electricity: NA","electricity"
"gas",2,272,"H2 central production>>gas","Logit: NA","gas: NA","gas"
"nuclear",2,273,"H2 central production>>nuclear","Logit: NA","nuclear: NA","nuclear"
"solar",2,274,"H2 central production>>solar","Logit: NA","solar: NA","solar"
"wind",2,275,"H2 central production>>wind","Logit: NA","wind: NA","wind"
"H2 distribution",2,276,"H2 distribution>>H2 distribution","Logit: NA","H2 distribution: NA","H2 distribution"
"H2 distribution",2,277,"H2 enduse>>H2 distribution","Logit: NA","H2 distribution: NA","H2 distribution"
"H2 forecourt production",2,278,"H2 enduse>>H2 forecourt production","Logit: NA","H2 forecourt production: NA","H2 forecourt production"
"electricity",2,279,"H2 forecourt production>>electricity","Logit: NA","electricity: NA","electricity"
